Month,ASI,CBNX,BDCX,INF
Jan-04,22712.88,137.76,147.65,22.4
Feb-04,25169.2,136.44,142.95,24.8
Mar-04,22800.41,134.8,139.92,22.5
Apr-04,25792.97,137.23,138.85,17.5
May-04,27730.84,134.81,139.64,19.8
Jun-04,28887.41,133.54,140,14.1
Jul-04,27062.13,134.39,139.84,10.7
Aug-04,23774.27,133.23,140.33,13
Sep-04,22739.68,133.77,141.08,9.1
Oct-04,23354.84,133.76,140.54,10.7
Nov-04,23270.45,133.15,140.69,10
Dec-04,23844.45,133.14,138.71,10
Jan-05,23060.02,133.11,139.8,9.8
Feb-05,21953.5,133.15,139.93,10.9
Mar-05,20682.37,133.09,139.73,16.3
Apr-05,22204.05,133.06,141.77,17.9
May-05,21482.08,133.37,141.21,16.8
Jun-05,21564.78,134.35,141.85,18.6
Jul-05,21911,135.35,143.94,26.1
Aug-05,22935.36,135.94,145.82,28.2
Sep-05,24635.91,132.55,145.8,24.3
Oct-05,25873.81,131.09,144.99,18.6
Nov-05,24355.85,130.8,143.94,15.1
Dec-05,24085.76,130.08,141.93,11.6
Jan-06,23679.44,129.93,144.09,10.7
Feb-06,23842.99,129.33,145.47,10.8
Mar-06,23336.6,128.68,148.46,12
Apr-06,23301.22,128.58,147.85,12.6
May-06,24745.66,128.57,142.33,10.5
Jun-06,26161.15,128.5,136.82,8.5
Jul-06,27880.5,128.43,130.12,3
Aug-06,33096.37,128.43,130.46,3.7
Sep-06,32554.6,128.39,130.21,6.3
Oct-06,32643.68,128.42,130.3,6.1
Nov-06,31632.54,128.42,129.82,7.8
Dec-06,33189.3,128.39,129.32,8.5
Jan-07,36784.51,128.37,130.07,8
Feb-07,40730.71,128.33,130,7.1
Mar-07,43456.14,128.25,129.34,5.2
Apr-07,47123.99,128.25,129,4.2
May-07,49930.19,127.62,129.16,4.6
Jun-07,51330.46,127.5,128.33,6.4
Jul-07,53021.68,127.2,127.52,4.8
Aug-07,50291.09,126.57,127.43,4.2
Sep-07,50229,125.74,126.5,4.1
Oct-07,50201.82,123.56,126.5,4.6
Nov-07,54189.92,119.45,123.8,5.2
Dec-07,57990.22,118.11,121.07,6.6
Jan-08,58570.55,117.72,120.8,8.6
Feb-08,65652.38,117.5,119.57,8
Mar-08,63016.56,116.79,119,7.8
Apr-08,59440.91,117.47,118.95,8.2
May-08,58929.02,117.79,118.8,9.7
Jun-08,55949,117.74,118.7,12
Jul-08,53110.91,117.71,119,14
Aug-08,47789.2,117.69,119,12.4
Sep-08,46216.13,117.62,119,13
Oct-08,36325.86,117.72,119,14.7
Nov-08,33025.75,117.88,119.1,14.8
Dec-08,31450.78,134.33,137.65,15.1
Jan-09,21813.76,146.59,149.88,14
Feb-09,23377.14,149.12,156.93,14.6
Mar-09,19851.89,145.8,174.32,14.4
Apr-09,21491.11,145.27,180.27,13.3
May-09,29700.24,145.86,180.63,13.2
Jun-09,26861.55,148.54,166.14,11.2
Jul-09,25286.61,149.88,155.13,11.1
Aug-09,23009.1,155.23,158.95,11
Sep-09,22065,153.25,158,10.4
Oct-09,21804.69,150.22,153.05,11.6
Nov-09,21010.29,151.03,152.95,12.4
Dec-09,20827.17,149.8,153.48,13.9
Jan-10,22594.9,150.33,153.55,14.4
Feb-10,22985,150.97,152.08,15.6
Mar-10,25966.25,150.08,151.85,14.8
Apr-10,26453.2,150.38,152,15
May-10,26183.21,151.49,153.26,12.9
Jun-10,25384.14,151.27,153.87,14.1
Jul-10,25844.18,150.27,152.41,13
Aug-10,24268.24,150.7,152.23,13.7
Sep-10,23050.59,152.62,153.85,13.6
Oct-10,25042.16,151.78,153.98,13.4
Nov-10,24764.65,150.55,153.13,12.8
Dec-10,24770.52,152.63,154.57,11.8
Jan-11,26827.28,152.57,156.08,12.1
Feb-11,26016.84,152.75,155.11,11.1
Mar-11,24621.21,155.21,157.09,12.8
Apr-11,25041.68,154.6,157.05,11.3
May-11,25866.62,156.17,158.05,12.4
Jun-11,24980.2,155.66,158.32,10.2
Jul-11,23826.99,152.6,163.71,9.4
